city,city_ascii,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Byron,Byron,MN,Minnesota,27109,Olmsted,27109,Olmsted,44.0379,-92.6411,5371,696,polygon,FALSE,TRUE,America/Chicago,3,55920,1840006809
North Mankato,North Mankato,MN,Minnesota,27103,Nicollet,27103,Nicollet,44.1814,-94.0386,13746,856,polygon,FALSE,TRUE,America/Chicago,3,56003,1840007896
Wayzata,Wayzata,MN,Minnesota,27053,Hennepin,27053,Hennepin,44.9707,-93.514,4586,573,polygon,FALSE,TRUE,America/Chicago,3,55391,1840010000
Bluffton,Bluffton,MN,Minnesota,27111,Otter Tail,27111,Otter Tail,46.4696,-95.2337,212,30,polygon,FALSE,TRUE,America/Chicago,3,56518 56482,1840006653
Sartell,Sartell,MN,Minnesota,27145,Stearns,27145|27009,Stearns|Benton,45.6186,-94.2205,17752,686,polygon,FALSE,TRUE,America/Chicago,3,56377,1840008886
St. Augusta,St. Augusta,MN,Minnesota,27145,Stearns,27145,Stearns,45.4497,-94.1996,3686,47,polygon,FALSE,TRUE,America/Chicago,3,55320 56301 56397 56398,1840008880
Cold Spring,Cold Spring,MN,Minnesota,27145,Stearns,27145,Stearns,45.457,-94.43,4412,593,polygon,FALSE,TRUE,America/Chicago,3,56320,1840006682
Eagle Bend,Eagle Bend,MN,Minnesota,27153,Todd,27153,Todd,46.1643,-95.0341,523,149,polygon,FALSE,TRUE,America/Chicago,3,56446,1840007754
Taylors Falls,Taylors Falls,MN,Minnesota,27025,Chisago,27025,Chisago,45.4121,-92.6644,1018,99,polygon,FALSE,TRUE,America/Chicago,3,55084,1840008895
New Prague,New Prague,MN,Minnesota,27079,Le Sueur,27079|27139,Le Sueur|Scott,44.5459,-93.5759,8376,788,polygon,FALSE,TRUE,America/Chicago,3,56071,1840007882
Shorewood,Shorewood,MN,Minnesota,27053,Hennepin,27053,Hennepin,44.9131,-93.5796,7978,576,polygon,FALSE,TRUE,America/Chicago,3,55331 55364 55391 55392,1840008925
Keewatin,Keewatin,MN,Minnesota,27061,Itasca,27061,Itasca,47.4006,-93.0828,1026,161,polygon,FALSE,TRUE,America/Chicago,3,55769 55746 55753,1840007717
